# Chinese lookup aliases | English gloss
# The user-facing input scheme outputs Simplified Chinese only.
# Derived from CC-CEDICT, published by MDBG.
# License: CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/
# Source date: 2026-08-23T06:21:07Z
一來二去	gradually; little by little
一侧化	lateralization
一個	a; an; one; the whole (afternoon, summer vacation etc)
一個中國政策	one-China policy
一個人	by oneself (without assistance); alone (without company)
一個個	a number of; each and every one
一個勁	continuously; persistently
一個勁兒	erhua variant of 一個勁|一个劲[yi1 ge4 jin4]
一個半	one and a half
一個天南，一個地北	to live miles apart
一個將軍一個令	lit. one general, one order (idiom)
一個巴掌拍不響	lit. one palm alone cannot clap (proverb)
一個接一個	one by one; one after another
一個樣	the same; of the same type
一個蘿蔔一個坑	lit. every turnip to its hole (idiom)
一個頭兩個大	(coll.) to feel as though one's head could explode (Tw)
一倡三叹	variant of 一唱三嘆|一唱三叹[yi1 chang4 san1 tan4]
一倡三嘆	variant of 一唱三嘆|一唱三叹[yi1 chang4 san1 tan4]
一側化	lateralization
一傳十，十傳百	(idiom) (of news etc) to spread like wildfire; to be disseminat…
一價	monovalent (chemistry)
一元	(math.) single-variable; univariate
一元化	integration; integrated; unified
一元复始	a new year begins (idiom)
一元復始	a new year begins (idiom)
一元論	monism, belief that the universe is made of a single substance
一元论	monism, belief that the universe is made of a single substance
一元醇	(chemistry) monohydric alcohol; alcohol with one hydroxyl group
一党	one-party (state)
一党专制	one party dictatorship
一共	in total; altogether
一再	repeatedly
一决雌雄	to have a showdown; to fight for mastery; to compete for a cham…
一准	certainly; variant of 一準|一准[yi1 zhun3]
一击入洞	hole in one (golf)
一刀两断	(idiom) to make a clean break with; to have nothing more to do…
一刀兩斷	(idiom) to make a clean break with; to have nothing more to do…
一刀切	lit. to cut all at one stroke (idiom); to impose uniformity
一分一毫	(idiom) the tiniest bit
一分为二	one divides into two; to be two-sided
一分為二	one divides into two; to be two-sided
一分熟	rare (of steak)
一分耕耘，一分收穫	(saying) you reap what you sow
一分耕耘，一分收获	(saying) you reap what you sow
一分錢一分貨	you get what you pay for
一分錢兩分貨	high quality at bargain price
一分钱一分货	you get what you pay for
一分钱两分货	high quality at bargain price
一切	everything; every
一切向錢看	to put money above everything else
一切向钱看	to put money above everything else
一切如旧	everything as before
一切如舊	everything as before
一切就緒	everything in its place and ready (idiom)
一切就绪	everything in its place and ready (idiom)
一切险	all risks (insurance)
一切險	all risks (insurance)
一则	on the one hand
一则以喜，一则以忧	happy on the one hand, but worried on the other
一刹那	a moment; an instant
一刻	a quarter of an hour; 15 minutes; a moment; an instant
一刻千金	(idiom) time is gold; every minute is precious
一刻鐘	a quarter of an hour
一刻钟	a quarter of an hour
一則	on the one hand
一則以喜，一則以憂	happy on the one hand, but worried on the other
一剎那	a moment; an instant
一力降十会	brute force overcomes clever tactics
一力降十會	brute force overcomes clever tactics
一动不动	motionless
一劳永逸	to get sth done once and for all
一動不動	motionless
一勞永逸	to get sth done once and for all
一匙	spoonful
一千零一夜	One Thousand and One Nights; Arabian Nights
一半	half
一半天	in a day or two; soon
一卡通	the name of various contactless smart cards, notably Yikatong (…
一厢情愿	one's own wishful thinking
一去不回	gone forever
一去不复返	gone forever
一去不復返	gone forever
一去无影踪	gone without a trace
一去無影蹤	gone without a trace
一反常态	complete change from the normal state (idiom); quite uncharacte…
一反常態	complete change from the normal state (idiom); quite uncharacte…
一反往常	contrary to what usually happens
一发	(Japanese mahjong) to complete one's hand within a single turn…
一发不可收拾	once it gets started there's no stopping it
一发而不可收	to be impossible to stop once started
一口	readily; flatly (deny, admit and so on)
一口价	fixed price; take-it-or-leave-it price
一口價	fixed price; take-it-or-leave-it price
一口吃不成胖子	lit. you cannot get fat with only one mouthful (proverb)
一口吃个胖子	lit. to want to get fat with only one mouthful (proverb)
一口吃個胖子	lit. to want to get fat with only one mouthful (proverb)
一口咬定	to arbitrarily assert; to allege
一口气	one breath; in one breath
一口气儿	erhua variant of 一口氣|一口气[yi1 kou3 qi4]
一口氣	one breath; in one breath
一口氣兒	erhua variant of 一口氣|一口气[yi1 kou3 qi4]
一古脑儿	variant of 一股腦兒|一股脑儿[yi1 gu3 nao3 r5]
一古腦兒	variant of 一股腦兒|一股脑儿[yi1 gu3 nao3 r5]
一句	a line of verse; a sentence
一句話	in a word; in short
一句话	in a word; in short
一叶知秋	lit. the falling of one leaf heralds the coming of autumn (idio…
一叶障目	lit. eyes obscured by a single leaf (idiom)
一号	first day of the month; toilet
一号木杆	driver (golf)
一号电池	D size battery
一同	together
一吐为快	to get sth off one's chest
一吐為快	to get sth off one's chest
一向	a period of time in the recent past
一员	a member (of an organization)
一周	one week; all the way around
一味	persistently; stubbornly; blindly
一呼百应	(idiom) (of a call) to elict an enthusiastic response; to recei…
一呼百應	(idiom) (of a call) to elict an enthusiastic response; to recei…
一呼百諾	one command brings a hundred responses (idiom); having hundreds…
一呼百诺	one command brings a hundred responses (idiom); having hundreds…
一命呜呼	to die (idiom); to breathe one's last
一命嗚呼	to die (idiom); to breathe one's last
一命归天	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命归西	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命归阴	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命歸天	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命歸西	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一命歸陰	see 一命嗚呼|一命呜呼[yi1 ming4 wu1 hu1]
一品	superb; first-rate
一品紅	poinsettia (Euphorbia pulcherrima)
一品红	poinsettia (Euphorbia pulcherrima)
一品鍋	dish containing a variety of meats and vegetables arranged in a…
一品锅	dish containing a variety of meats and vegetables arranged in a…
一哄而散	to disperse in confusion (idiom); see 一哄而散[yi1 hong1 er2 san4]
一哄而起	(of a group of people) to rush into action
一員	a member (of an organization)
一哥	(coll.) top-ranked male; leading male; top male personality (in…
一哭二闹三上吊	(lit.) to cry, then shout, then threaten suicide (saying)
一哭二鬧三上吊	(lit.) to cry, then shout, then threaten suicide (saying)
一唱一和	to echo one another (idiom)
