# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
inexpressive	不表现的
inextinguishable	不能扑灭的
inextricable	逃脱不掉的
inextricably	无法摆脱地
inez	伊内兹
inf	中程核力量（
infallibility	绝无错误
infallible	绝无错误的
infallibly	绝对无误地
infamous	无耻的
infamously	不名誉地
infamy	声名狼藉
infancy	幼年
infant	婴儿
infanta	郡主
infanticide	杀婴
infantile	婴儿的
infantry	步兵
infantryman	步兵
infarct	梗塞
infarction	血块的构成
infatuate	使迷恋
infatuated	迷恋着的
infatuation	迷惑
infeasible	不可实行的
infect	传染
infected	被感染的
infection	传染
infectious	有传染性的
infectiously	传染地
infective	有传染性的
infelicitous	不幸的
infelicity	不幸
infer	推论出
inference	推论
inferential	推理的
inferentially	推理地
inferior	次等的
inferiority	自卑
infernal	阴间的
inferno	地狱
infertile	不肥沃的
infertility	不肥沃
infest	骚扰
infestation	骚扰
infested	为患的
infidel	不信神的
infidelity	不信神
infield	农宅周围的田
infielder	内野手
infighting	近战
infill	填实
infilling	填入
infiltrate	使浸润
infiltration	渗入
infiltrative	渗透性的
infiltrator	渗入者
infinite	无限
infinitely	无限地
infinitesimal	极小的
infinitesimally	无限小地
infinitive	不定式
infinitude	无限
infinity	无限大
infirm	弱的
infirmary	医院
infirmity	虚弱
inflame	激怒
inflamed	红肿的
inflammable	易燃的
inflammation	怒火
inflammatory	激动的
inflatable	膨胀的
inflate	使膨胀
inflated	膨胀的
inflating	加压
inflation	胀大
inflationary	通货膨胀的
inflator	充气者
inflect	弯曲
inflected	变（音）
inflection	屈曲
inflectional	抑扬的
inflexibility	刚性
inflexible	不屈曲的
inflexibly	不屈曲地
inflexion	弯曲
inflict	施以
infliction	处罚
inflorescence	开花
inflow	流入
influence	影响力
influencing	影响的
influent	流入的
influential	有影响的
influenza	流行性感冒
influx	流入
info	信息
infomercial	<美>专题广
inform	通知
informal	非正式的
informality	非正式
informally	非正式地
informant	提供消息者
informatics	信息学
information	消息
informational	信息的
informative	提供消息的
informatively	提供信息地
informativeness	忠实度
informed	见多识广的
informer	密告者
informing	增长见闻的
informix	英孚美（数据
infotainment	信息娱乐片
infra	在下
infraction	违反
infrared	红外线的
infrastructural	基础结构的基
infrastructure	基础结构
infratemporal	颞下的
infrequency	稀罕
infrequent	稀少的
infrequently	很少发生
infringe	破坏
infringement	违犯
infuriate	狂怒的
infuriated	使大怒
infuriating	令人大怒的
infuriatingly	万分激怒地
infuse	注入
infusion	注入
ing	惯性导航与制
inge	英奇（英格兰
ingenious	灵敏的
ingeniously	有才能地
ingenue	天真无邪的姑
ingenuity	心灵手巧
ingenuous	坦白的
ingenuously	率直地
ingenuousness	率直
ingest	摄取
ingested	<正>吃
ingestion	摄取
ingham	人名
inglenook	炉边
ingleton	英格尔顿（在
inglis	英格利斯（人
inglorious	不名誉的
ingloriously	不名誉地
ingmar	人名
ingot	锭
ingrain	给原纱染色
ingrained	根深蒂固的
ingram	英格拉姆（男
ingrams	英格拉姆
ingrate	忘恩者
ingratiate	使迎合
ingratiating	逢迎的
ingratiatingly	讨好地
ingratitude	忘恩负义
ingredient	成分
ingres	安格尔（法国
ingress	进入
ingrid	n英格里德（
ingrow	缩小
ingrown	向内生长的
inguinal	腹股沟的
inhabit	居住于
inhabitable	可居住的
inhabitant	居民
inhabited	有人居住的
inhalant	吸入剂
inhalation	吸入
inhale	吸入
inhaled	吸入
inhaler	吸入者
inhere	固有
inherent	固有的
inherently	内在地
inherit	继承
inheritable	可继承的
inheritance	遗传
inherited	遗传的
inheritor	继承人
inhibit	禁止
inhibited	抑制情感的
inhibiting	禁止的
inhibition	禁止
inhibitor	禁止者
inhibitory	禁止的
inhomogeneity	不同类
inhomogeneous	不同类的
inhospitable	冷淡的
inhuman	残忍的
inhumane	无人情味的
inhumanity	不人道
inimical	有敌意的
inimitable	无法仿效的
iniquitous	不公正的
iniquity	不公正
initial	字首
initialization	初始化
initialize	预置
initially	最初
initiate	入会
initiated	开始
initiating	开始（ini
initiation	开始
initiative	主动行动
initiator	创始者
initiatory	入会的
inject	注射
injectable	可注射的
injected	[医]注入的
injection	注射
injector	注射者
injudicious	欠思考的
injunction	命令
injure	伤害
injured	受伤的
injurious	有害的
injury	伤害
injustice	不公平
ink	墨水
inkblot	墨水斑点
inked	墨水涂染（i
inkling	暗示
inkpot	墨水壶
inkwell	墨水池
inky	墨水的
inlaid	嵌入的
inland	内陆的
inlay	嵌入
inlet	进口
inman	人名
inmate	同住者
inmos	intell
inmost	心底的
inn	旅馆
innards	内脏
innate	先天的
innately	天赋地
inner	内部的
innermost	内心的
innervate	使受神经支配
innervation	神经分布
innes	英尼斯（人名
inning	一局
innings	局
innkeeper	小旅馆老板
innocence	无罪
innocent	无罪的
innocently	纯洁地
innocuous	无害的
innocuously	无害地
innovate	改革
innovating	改革
innovation	改革
innovative	革新的
innovatively	创新地
innovativeness	创新性
innovator	改革者
innovatory	革新的
innsbruck	因斯布鲁克[
innuendo	讽刺
innumerable	无数的
inoculant	接种剂
inoculate	接种
inoculated	给…做预防注
inoculation	灌输
inoculum	接种体
inoffensive	无害的
inoperable	不能动手术的
inoperative	不起作用的
inopportune	不合时机的
inordinate	过度的
inordinately	紊乱地
inorganic	无机的
inpatient	住院病人
input	输入
inquest	审讯
inquire	询问
inquirer	询问者
inquiries	调查
inquiring	询问的
inquiringly	探询地
inquiry	质询
inquisition	调查
inquisitive	好问的
inquisitively	过分好奇地
inquisitiveness	好奇
inquisitor	询问者
inquisitorial	询问者的
inroad	侵入
inroads	侵犯
insane	患精神病的
insanely	精神错乱地
insanitary	不卫生的
insanity	疯狂
insatiable	不知足的
insatiably	贪得无厌地
inscribe	登记
inscribed	内切的
inscription	题字
inscrutability	不可预测
inscrutable	难以了解的
inscrutably	高深莫测地
inseam	内接缝
insect	昆虫
insecticidal	杀虫的
insecticide	杀虫剂
insectile	昆虫的
insectivore	食虫动物
insectivorous	食虫的
insects	昆虫
insecure	不安全的
insecurely	不安全地
insecurity	不安全
inseminate	播种
insemination	播种
insensate	无感觉的
insensibility	无感觉
insensible	不知的
insensibly	不知不觉地
insensitive	对...没有
insensitively	特别迟钝的
insensitivity	感觉迟钝
insentient	无知觉的
inseparability	不可分离性
inseparable	不能分的
inseparably	不能分离地
insert	插入物
inserted	插入的
insertion	插入
inservice	在使用中的
inset	嵌入
inshore	近海岸的
inside	内部
insider	内部的人
insidious	隐伏的
insidiously	阴险
insight	察看
insightful	有深刻见解的
insightfully	富于洞察力地
insignia	勋章
insignificance	无关紧要
insignificant	无关紧要的
insignificantly	无关紧要地
insincere	不诚实的
insincerely	不诚实地
insincerity	不诚实
insinuate	巴结
insinuating	曲意巴结的
insinuation	暗示
insipid	乏味的
insist	坚持
insistence	坚持
insistent	坚持的
insistently	坚持地
insofar	在...的范
insolate	使曝晒
insolation	日晒
insole	鞋内底
insolence	傲慢
insolent	侮慢无礼的人
insolently	粗鲁地
insoluble	不能溶解的
insolvency	无力偿还
insolvent	无力偿还的
insomnia	失眠症
insomniac	失眠症患者
insouciance	无忧无虑
insouciant	漫不经心的
insp	情报、消息、
inspect	检查
inspection	检验
inspector	检查员
inspectorate	检查员
inspiration	灵感
inspirational	凭灵感的
inspiratory	吸气的
inspire	使感动
inspired	得到灵感的
inspirer	启发灵感、鼓
inspiring	鼓舞人心的
inst	立刻的（in
instability	不安定
instal	任命
install	安装
installation	安装
installed	安装的
installer	安装者
installment	就职
instalment	就职
instamatic	飞机订票
instance	建议
instant	立即
instantaneous	即时的
instantaneously	即刻
instantiate	例示
instantiation	实例化
instantly	立即地
instar	龄
instate	任命
instead	作为替代
instep	脚背
instigate	教唆
instigation	鼓动
instigator	煽动者
instil	滴注
instill	滴注
instillation	慢慢灌输
instinct	本能
instinctive	本能的
instinctively	本能地
instinctual	本能的
institute	学会
institutes	学院（ins
institution	机构
institutional	制度的
institutionalisation	制度化
institutionalise	<主英>=i
institutionalised	制度化的
institutionalism	（有关宗教等
institutionalization	制度化
institutionalize	使制度化
institutionalized	使成惯例的
institutionally	instit
institutions	体系
instruct	教
instruction	指令
instructional	教学的
instructive	有益的
instructor	教员
instructors	指导者
instrument	工具
instrumental	仪器的
instrumentalism	[哲]工具主
instrumentalist	工具主义者
instrumentality	媒介
instrumentalization	工具化
instrumentally	仪器地
instrumentation	乐器法
instrumented	装有导航仪器
instruments	乐器
insubordinate	不顺从的
insubordination	不顺从
insubstantial	脆弱的
insufferable	不可忍受的
insufferably	不能忍受地
insufficiency	不充分
insufficient	不够的
insufficiently	不够地
insular	岛的
insularity	岛屿生活状况
insulate	使绝缘
insulated	隔热的
insulating	绝缘的
insulation	绝缘
insulator	绝缘体
insulin	胰岛素
insult	侮辱
insulted	侮辱
insulting	侮辱的
insultingly	侮辱地
insuperable	不能制胜的
insupportable	忍耐不住的
insurable	可保险的
insurance	保险
insure	保险
insured	被保险人
insurer	保险公司
insurgence	谋叛
insurgency	叛乱状态
insurgent	谋叛的
insurmountable	难以克服的
insurrection	起义
insurrectionary	起义的
insurrectionist	起义者
int	整数
intact	尚未被人碰过
intactness	完整无缺
intaglio	凹雕
intake	入口
intangibility	不可触知性
intangible	难以明了的
intangibles	无形物
intarsia	木造镶嵌细工
integer	完整的事物
integral	整体
integrally	完整地
integrate	综合
integrated	综合的
integrating	整合
integration	综合
integrationist	<主美>主张
integrative	综合的
integrator	综合之人
integrin	整联蛋白
integrity	正直
intel	美国英特尔公
intellect	智力
intellectual	有知识者
intellectualism	智力活动
intellectualization	理智化
intellectualize	赋于理智
intellectualized	智能化的
intellectually	智力上
intelligence	智力
intelligent	聪明的
intelligently	聪明地
intelligentsia	知识界
intelligibility	可理解性
intelligible	可理解的
intelligibly	易理解地
intemperance	不节制
intemperate	不节制的
intend	计划
intendant	监督官
intended	有意的
intense	非常的
intensely	强烈地
intensification	增强
intensified	（使）增强
intensifier	加强者
intensify	加强
intensifying	加强
intensional	内涵的
intensity	强烈
intensive	加强的
intensively	强烈地
intent	意图
intention	意图
intentional	故意的
intentionality	意向性
intentionally	故意地
intentioned	有...企图
intently	一心一意地
inter	埋葬
interact	互相影响
interacting	相互制约
interaction	交互作用
interactional	交互的
interactionism	互动论
interactionist	相互作用者
interactive	相互作用的
interactively	交互式地
interagency	跨部门的
interannual	年际间的
interatomic	[核]原子间
interaural	耳间的
interbank	管排间的
interbreed	异种交配
intercalate	放置闰日
intercede	说情
intercellular	在细胞间的
intercept	截取
intercepted	拦截
interception	拦截
interceptor	阻止的人
intercession	仲裁
intercessor	仲裁者
intercessory	仲裁的
interchange	立体交叉道
interchangeability	可交换性
interchangeable	可互换的
interchangeably	可交换地
intercity	城市间的
intercoastal	两岸间的
intercollegiate	大学间的
intercom	内部通信联络
intercommunal	社区之间的
interconnect	使互相连接
interconnected	互相连接
interconnectedness	互联性
interconnecting	转接的
interconnection	互相连络
interconnectivity	相互连结性
intercontinental	大陆间的
intercooler	冷热气自动调
intercorrelation	组间关联
intercostal	脉间的
intercourse	交往
intercropping	间混作
intercultural	不同文化间的
intercut	使镜头交切
interdenominational	派系间的
interdepartmental	各部间的
interdependence	互相依赖
interdependency	相关性
interdependent	相互依赖的
interdict	禁止
interdiction	禁止
interdisciplinary	学科间的
interest	兴趣
interested	感兴趣的
interestedly	抱持兴趣地
interesting	有趣的
interestingly	有趣地
interface	分界面
interfacial	界面的
interfacing	接口技术
interfaith	不同宗教信仰
interfere	妨碍
interference	冲突
interfering	干涉的
interferometer	干涉仪
interferometric	[物]干涉测
interferon	干扰素
intergalactic	星系间的
intergenerational	两代人之间的
interglacial	间冰期的
intergovernmental	政府间的
intergroup	团体之间的
interim	暂时的
interior	内部
interiorize	使看法深入内
interiorly	在内部
interject	插嘴
interjection	感叹词
interlace	使交织
interlaced	交织的
interleave	插入
interleukin	白介素
interlibrary	馆际的
interlinear	写在行间的
interlink	把...互相
interlinked	互连的
interlock	连结
interlocked	<计>互锁设
interlocking	连锁的
interlocutor	对话者
interlocutory	对话的
interlope	闯入
interloper	闯入者
interlude	幕间
intermarriage	异族结婚
intermarry	通婚
intermediary	仲裁者
intermediate	中间物
intermediation	调解
interment	埋葬
intermesh	使互相结合
intermezzo	插曲
interminable	无限的
interminably	漫无止境地
intermingle	混入
intermingled	（使）混合
intermingling	混和
intermission	中止
intermittency	间歇现象
intermittent	间歇的
intermittently	间歇地
intermix	混和
intermodal	联合运输的
intermolecular	分子间的
intermountain	山间
intern	实习生
internal	内在的
internalise	使成为主观
internalised	使成为主观
internalization	成为主观
internalize	使内在化
internalized	使内在化
internalizing	使内在化
internally	内部的
international	国际的
internationale	《国际歌》
internationalisation	国际化
internationalise	使国际化
internationalism	国际主义
internationalist	国际主义者
internationalization	国际化
internationalize	使国际化
internationally	国际性地
internationals	世界赛选手
internecine	互相残杀的
internee	被拘留者
internet	因特网
internist	内科医师
internment	拘留
internode	结间部
internship	实习医师的职
interoperability	互用性
interoperable	可互用的
interorganizational	跨组织
interpellate	质询
interpellation	质询
interpenetrate	渗透
interpenetration	互相贯通
interpersonal	人与人之间的
interphone	对讲机
interplanetary	行星间的
interplay	互相作用
interpol	国际刑警组织
interpolate	篡改
interpolated	以内插值替换
interpolation	篡改
interpose	使插入
interposition	插入中间
interpret	解释
interpretability	可解释性
interpretable	可说明的
interpretant	解释项
interpretation	解释
interpretative	作为说明的
interpreted	解释
interpreter	直译程序
interpreting	解释的
interpretive	解释的
interquartile	四分点
interracial	人种间的
interracially	interr
interradial	射线间的
interregional	地区与地区间
interregnum	空位期间
interrelate	相互关联
interrelated	相关的
interrelatedness	interr
interrelation	相互关系
interrelationship	相互关系
interreligious	各宗教间的
interrogate	质问
interrogation	审问
interrogative	疑问词
interrogator	讯问者
interrogatory	疑问的
interrupt	中断
interrupted	中断的
interrupter	打断者
interruptible	可中断的
interruption	打扰
interscholastic	校际的
intersect	贯穿
intersected	交错的
intersecting	相交的
intersection	交集
intersession	短假期
intersex	阴阳人
intersexual	两性间的
interspecific	种间的
intersperse	散布
interspersed	[医]散开的
interstate	州际的
interstellar	星际的
interstice	空隙
interstitial	空隙的
intersubjective	主观间的
intersubjectivity	主体间性
intertext	Intern
intertextual	互文的
intertextuality	互文性
intertidal	高潮线与低潮
intertribal	部族间的
intertwine	纠缠
intertwined	缠结在一起
intertwining	缠结在一起
interurban	都市间的
interval	间隔
intervene	插入
intervener	介入诉讼人
intervening	中间的
intervenor	干涉者
intervention	插入
interventional	介入的
interventionism	干预主义
interventionist	干涉主义者
intervertebral	椎骨间的
interview	面谈
interviewed	面试
interviewee	被接见者
interviewer	会见者
interviewing	面试
interviews	接见
interwar	两次战争之间
interweave	交织
interweaving	使（与…交织
interwoven	互相编织
intestacy	未留遗嘱而死
intestate	没有遗嘱的
intestinal	肠的
intestine	内部的
intifada	以色列占领区
intimacy	亲密
intimate	亲密的
intimately	亲切地
intimation	暗示
intimidate	威胁
intimidated	恐吓
intimidating	恐吓
intimidatingly	胁迫地
intimidation	恐吓
intimidator	威吓者
intimidatory	恐吓的
into	进入...之
intolerable	无法忍受的
intolerably	到难耐的程度
intolerance	不宽容
intolerant	不容忍的
intonation	朗诵
intone	吟咏
intoxicant	酒类饮料
intoxicate	使陶醉
intoxicated	喝醉的
intoxicating	醉人的
intoxication	使醉
intra	节点内
intracellular	胞内的
intracoastal	沿岸的
intracranial	颅内的
intractability	难驾驭
intractable	不听话的
intracytoplasmic	胞质内的
intraepithelial	上皮内的
intragastric	胃内的
intraluminal	管腔内的
intramural	校内的
intramuscular	肌内的
intramuscularly	肌内地
intranasal	鼻内的
intranet	[计]内联网
intransigence	不妥协
intransigent	非妥协性的
intransitive	不及物的
intraocular	眼内的
intraoperative	外科手术进行
intraoral	口内的
intraparty	政党内的
intrapersonal	个人头脑中的
intrapsychic	内心的
intraracial	种族内的
intraspecific	[生]种内的
intratextual	文内
intrauterine	子宫内的
intravascular	血管内的
intravenous	静脉内的
intravenously	静脉内地
intrepid	无畏的
intricacy	纷乱
intricate	复杂的
intricately	杂乱地
intrigue	阴谋
intrigued	好奇的
intriguer	阴谋者
intriguing	吸引人的
intriguingly	有趣地
intrinsic	本质的
intrinsically	本质的
intro	介绍
introduce	介绍
introduced	[医]引种的
introduction	介绍
introductory	介绍的
introject	融合
introjection	投入
intron	内含子
introspection	内省
introspective	内省的
introversion	内向性
introvert	个性内向者
introverted	内向型性格的
intrude	闯入
intruder	侵入者
intruding	侵入
intrusion	闯入
intrusive	打扰的
intrusiveness	干涉性
intubate	把管子插进
intubation	插管
intuit	由直觉知道
intuition	直觉
intuitive	直觉的
intuitively	直觉地
intumescence	膨胀
inuit	因纽特人的
inulin	阿兰粉
inundate	浸水
inundated	淹没
inundation	淹水
inure	使习惯于
inured	习惯的
invade	侵入
invaded	侵入
invader	侵略者
invading	侵入
invalid	病人
invalidate	使无效
invalidation	无效
invalidity	无效
invaluable	无价的
invariable	不变的东西
invariably	不变化地
invariance	不变性
invariant	无变化的
invasion	侵犯
invasive	侵入的
invasiveness	侵略性
invective	恶言漫骂
inveigh	痛骂
inveigle	诱骗
invent	发明
invented	虚拟
inventing	发明
invention	发明
inventive	善于创造的
inventively	有创造力地
inventiveness	发明创造能力
inventor	发明家
inventory	详细目录
invercargill	因弗卡吉尔
inverclyde	英弗克莱德（
invergordon	因弗戈登
inverness	长披风
inverse	倒转的
inversely	相反地
inversion	倒转
invert	转化的
invertebrate	无脊椎的
inverted	倒转的
inverter	倒转者
inverting	反相的
invest	投资
invested	投资
investigate	调查
investigated	调查
investigating	调查
investigation	调查
investigational	调查研究的
investigative	审查的
investigator	调查者
investigators	调查者
investigatory	调查的
investing	包埋
investiture	授职
investment	投资
investor	投资者
inveterate	根深的
invidious	引起反感的
invidiously	惹人怨恨地
invigilate	看守
invigorate	使精力充沛
invigorated	使生气勃勃
invigorating	精力充沛的
invincibility	无敌
invincible	不能征服的
inviolability	不可侵犯
inviolable	不可亵渎的
inviolate	未亵渎的
invisibility	看不见
invisible	看不见的
invisibly	看不见地
invitation	邀请
invitational	邀请的
invite	邀请
invited	邀请
invitee	被邀请者
inviting	引人动心的
invitingly	吸引人地
invocation	祈祷
invoice	发票
invoiced	开发票（in
invoicing	发票
invoke	祈求
involuntarily	不知不觉地
involuntary	自然而然的
involution	卷绕
involve	包括
involved	难懂的
involvement	卷入
invulnerability	不会受伤害
invulnerable	不会受伤害的
inward	内心的
inwardly	在内部
inwardness	本质
inwards	在内部
io	输入输出
ioc	国际奥林匹克
iod	直接需氧量（
iodide	碘化物
iodine	碘
iodized	用碘处理
iom	（英国）马恩
ion	离子
iona	爱奥那岛（苏
ionian	爱奥尼亚的
ionic	离子的
ionise	<主英>=i
ionised	电离（等于i
ionization	离子化
ionize	使离子化
ionized	（使）电离
ionizing	（使）电离
ionosphere	电离层
iota	希腊字母第9
iou	借据
iowa	衣阿华州
ip	初始排列
ipc	工业过程控制
ipcc	政府间气候变
ipecac	吐根
iphone	苹果手机
ipo	首次公开募股
ipod	苹果公司音乐
ipsative	自比的
ipsilateral	同侧的
ipswich	伊普斯威奇（
iq	智商
iqbal	伊克巴尔（姓
ir	红外光谱法
ira	爱尔兰共和军
iran	伊朗
irangate	伊朗门事件
iranian	伊朗的
iraq	伊拉克
iraqi	伊拉克人
iras	红外天文卫星
irascibility	易怒
irascible	易怒的
irate	发怒的
irb	工业基准黑（
irc	国际红十字会
ire	忿怒
ireland	爱尔兰
irena	人名
irene	和平女神
irian	伊里安[太平
iridescence	彩虹色
iridescent	彩虹色的
iridium	铱
irigaray	伊利格瑞（人
irina	伊丽娜（人名
iris	虹膜
irish	爱尔兰人
irishman	爱尔兰人
irishwoman	爱尔兰妇女
irk	使厌倦
irked	<正
irksome	厌恶的
irkutsk	伊尔库次克[
irma	免疫放射分析
iron	铁
ironbridge	英国大铁桥（
ironclad	装甲的
ironed	熨平
ironic	冷嘲的
ironical	讽刺的
ironically	冷嘲地
ironing	熨烫
ironist	讽刺家
ironman	钢铁人
ironmaster	铁工厂厂长
ironmonger	金属器具商
ironmongery	五金器件
ironside	勇敢的人
ironstone	铁石
ironwood	铁木
ironwork	铁制品
ironworker	钢铁工人
irony	反语
iroquoian	易洛魁族人的
iroquois	易洛魁人
irradiate	照耀
irradiated	照亮
irradiation	发光
irradicable	不能根除的
irrational	无理数
irrationality	不合理
irrationally	不合理地
irreconcilable	不能和解的
irrecoverable	不能收回的
irredeemable	不能赎回的
irredentism	民族统一主义
irredentist	民族统一主义
irreducible	不能复归的
irreducibly	不能减少地
irrefutable	不能反驳的
irrefutably	不能反驳的
irregardless	&adv.<
irregular	不规则物
irregularity	不规则
irregularly	不规则
irrelevance	不相关
irrelevancy	无关
irrelevant	不恰当的
irrelevantly	不恰当地
irreligion	无宗教
irreligious	无宗教的
irremediable	不能治疗的
irremediably	无法补救地
irreparable	不能修补的
irreparably	不能挽回地
irreplaceable	不能调换的
irrepressible	约束不住的
irrepressibly	镇压不住地
irreproachable	不可非难的
irresistible	不可抵抗的
irresistibly	无法抵抗地
irresolute	无决断的
irresolution	无决断
irresolvable	不能分解的
irrespective	不顾的
irresponsibility	无责任
irresponsible	不负责任的
irresponsibly	不负责任地
irretrievable	不能挽回的
irretrievably	不能挽回地
irreverence	不敬
irreverent	不敬的
irreverently	不敬地
irreversibility	不可逆性
irreversible	不可逆的
irreversibly	不可更改地
irrevocable	不能挽回的
irrevocably	不能取消地
irrigate	灌溉
irrigated	[医]冲洗的
irrigation	灌溉
irrigator	灌溉者
irritability	易怒
irritable	易怒的
irritably	性急地
irritant	刺激的
irritate	激怒
irritated	被激怒的
irritating	刺激的
irritatingly	刺激地
irritation	刺激
irruption	侵入
irs	美国国税局（
irvin	欧文
irvine	[美俚]警官
irving	欧文（男子名
irwin	欧文（男子名
is	be的现在式
isa	指令系统体系
isaac	艾萨克（男人
isaacs	人名
isabel	伊莎贝尔（人
isabella	伊莎贝拉（女
isabelle	伊莎贝尔（女
isaiah	以赛亚
isay	人名
isbn	国际标准书号
ischaemia	局部出血
ischemia	局部出血
ischemic	局部出血的
ischial	坐骨的
ischium	坐骨
isdn	综合业务数字
ise	离子选择电极
ish	国际高血压联
isherwood	伊舍伍德
ishmael	以实玛利
isidore	伊西多尔
isinglass	鱼胶
isis	（美）废钢铁
isla	伊斯拉（女子
islam	伊斯兰教
islamabad	伊斯兰堡
islamic	伊斯兰教的
islamist	伊斯兰教主义
islamization	伊斯兰化
island	岛
islander	岛民
islay	艾雷岛（地名
isle	小岛
islet	小岛
islington	伊斯灵顿（地
islip	艾斯利普（英
ism	主义
ismail	伊斯梅尔（男
isn't	不是
iso	国际标准化组
isobel	伊泽贝尔
isobutane	异丁烷
isoflavone	异黄酮
isoform	对碘氧基苯甲
isolate	使隔离
isolated	孤立的
isolating	孤立的
isolation	隔绝
isolationism	孤立主义
isolationist	孤立主义者
isolator	隔离者
isolde	伊索德（人名
isolette	不足月婴儿人
isomer	异构体
isometric	立方的
isometrics	管道安装图
isomorphic	同形的
isomorphism	同形
isoniazid	异烟肼
isopropyl	异丙基
isotonic	等渗的
isotope	同位素
isotopic	同位素的
isotropic	各向同性的
israel	以色列
israeli	以色列的
israelite	以色列人的
iss	离子散射能谱
issuance	发行
issue	发行
issued	发布
issuer	发行者
issues	议题
issuing	出版
ist	胰岛素休克疗
istanbul	伊斯坦布尔
isthmus	地峡
istvan	人名
isuzu	五十铃汽车（
it	它
it'll	itwill
it's	itis的缩
ita	（英国）独立
italia	意大利
italian	意大利人
italianate	意大利风格的
italic	斜体的
italicise	<主英>=i
italicised	用斜体字印刷
italicize	用斜体字排字
italicized	用斜体字排字
italics	斜体字
italy	意大利
itc	信息终端公司
itch	痒
itchiness	瘙痒
itching	渴望的
itchy	渴望的
item	项目
itemise	逐条列记
itemised	详细列明（等
itemize	分条详述
itemized	列出清单
items	项目
iterate	反复说
iterated	重复
iteration	重复
iterative	反复的
iteratively	迭代的
ith	[=infa
ithaca	伊萨卡岛（希
itinerant	巡回的
itinerary	旅程
itn	独立电视新闻
ito	国际贸易组织
its	它的
itself	它本身
itt	国际电话电报
itv	独立电视
itzhak	人名
iucn	国际自然保护
iud	子宫内避孕器
iv	输入阀
ivan	伊凡（男子名
ivanhoe	艾凡赫
ivanov	人名
ives	艾夫斯
ivf	试管受精（i
ivo	人名
ivor	艾弗（男子名
ivorian	象牙海岸的
ivory	象牙
ivy	常春藤
iwan	人名
iwc	国际捕鲸委员
ix	离子交换（I
ixora	龙船花属
izmir	伊兹密尔
izvestia	消息报
izzie	伊兹（女子名
izzy	依奇（199
j	字母j
ja	数人共有的银
jab	刺
jabber	快而含糊地说
jabir	人名
jac	飞机制造联合
jacaranda	蓝花楹
jacek	人名
jack	插座
jackal	豺
jackass	公驴
jackboot	长统靴
jackbooted	穿长统靴的
jackdaw	寒鸦
jacket	夹克
jacketed	有套的
jackfruit	木波罗
jackhammer	手提钻
jackie	杰基（人名）
jackknife	大折合式刀
jacklin	杰克林
jackman	杰克曼（人名
jacko	人名
jackpot	最大赌注
jackrabbit	长耳大野兔
jackscrew	螺旋起重机
jackson	杰克逊（男子
jacksonian	美国第七任总
jacksonville	杰克逊维尔（
jacky	水手
jacob	[圣经]雅各
jacobean	詹姆斯一世时
jacobi	雅可比
jacobin	激进派成员
jacobite	詹姆斯二世追
jacobitism	詹姆斯党
jacobs	雅各布斯（作
jacobsen	雅各布森（男
jacobson	雅各布森（人
jacquard	提花机
jacqueline	杰奎琳（女子
jacques	雅克（男子名
jacqui	雅基（人名）
jacquie	贾奇（人名）
jacuzzi	极可意水流按
jade	玉
jaded	疲倦不堪的
jadeite	硬玉
jaeger	猎人
jaffa	迦法柑桔
jaffe	杰斐
jag	缺口
jagged	锯齿状的
jaggedly	锯齿状地
jagger	L形吊骨
jaguar	美洲虎
jahangir	贾汗季（印度
jail	监牢
jailbird	囚犯
jailbreak	越狱
jailed	监禁的
jailer	看守监狱的人
jailhouse	监狱
jailing	监禁
jaime	杰米（人名）
jain	耆那教徒
jaipur	斋蒲尔
jakarta	雅加达（印尼
jake	满意的
jakes	厕所
jakob	雅各布（人名
jakobson	雅各布森
jalapeno	墨西哥胡椒
jalopy	破旧车
jam	果酱
jamaica	牙买加
jamaican	牙买加的
jamal	贾马尔（男子
jamb	门窗侧壁
jambalaya	什锦菜肴
jamboree	大喝大闹
james	詹姆斯（姓氏
jamesian	亨利·詹姆斯
jameson	詹姆士（姓氏
jamie	杰米（男子名
jamieson	贾米森（美国
jamila	杰米拉（人名
jammed	轧住了的
jammer	电气干扰
jammies	<口>睡衣裤
jamming	干扰
jammu	查谟
jammy	粘上果酱的
jan	一月
jana	利比亚民众国
janata	（印度）人民
jane	简（女子名）
janeiro	（葡）一月
janet	英国大学联合
janette	珍妮特（人名
janey	简妮（人名）
jangle	吵架
jangled	受刺激的
jangling	铁器相碰发出
jangly	丁当作响的
janice	贾尼斯（女子
janie	詹妮（女子名
janine	亚尼内（女子
janis	口器颚颌
janitor	守卫
janitorial	管理的
jannie	人名
janos	亚诺什（人名
jansen	詹森（姓氏）
january	一月
janus	杰纳斯两面神
jap	日本
japan	日本
japanese	日本人
jape	戏言
japonica	山茶
jaques	贾克斯
jar	广口瓶
jardin	贾丁
jardine	怡和集团
jargon	专门术语
jarhead	<美><俚>
jarman	人名
jarred	[英格兰人姓
jarrett	贾勒特（人名
jarring	辗轧的
jarringly	jar（刺耳
jarrow	贾罗
jaruzelski	人名
jarvis	贾维斯
jas	日本农业标准
jasmine	茉莉
jason	詹森（男子名
jasper	碧玉
jaundice	黄疸
jaundiced	患黄疸病的
